title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
Bajaj CT100 ES 2025,184360,Bajaj,CT100,2025,0,100,Colombo,https://ikman.lk/en/ad/bajaj-ct100-es-2025-for-sale-colombo-406,2026-02-21
Hero Hunk 160R 4V 2025,454950,Hero,Hunk 160R,2025,1,160,Colombo,https://ikman.lk/en/ad/hero-hunk-160r-4v-2025-for-sale-colombo-158,2026-02-21
TVS Ntorq 2026,55700,TVS,Ntorq,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-242,2026-02-21
TVS Ntorq 2018,580000,TVS,Ntorq,2018,61000,125,Colombo,https://ikman.lk/en/ad/tvs-ntorq-2018-for-sale-colombo-1306,2026-02-21
Yamaha Fazer 2019,725000,Yamaha,Fazer,2019,35000,150,Vavuniya,https://ikman.lk/en/ad/yamaha-fazer-2019-for-sale-vavuniya-2,2026-02-21
Bajaj Pulsar 150 2007,350000,Bajaj,Pulsar 150,2007,95000,150,Kandy,https://ikman.lk/en/ad/bajaj-pulsar-150-good-bike-2007-for-sale-kandy,2026-02-21
Bajaj Discover 2010,280000,Bajaj,Discover,2010,80000,150,Ratnapura,https://ikman.lk/en/ad/bajaj-discover-discovery-2010-for-sale-ratnapura-4,2026-02-21
Honda Dio 2016,510000,Honda,Dio,2016,40000,110,Ratnapura,https://ikman.lk/en/ad/honda-dio-2016-for-sale-ratnapura-456,2026-02-21
Bajaj Pulsar NS200 Brand new 2026,515000,Bajaj,Pulsar NS200,2026,0,200,Kurunegala,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-8,2026-02-21
Bajaj Pulsar NS200 Brand new 2026,515000,Bajaj,Pulsar NS200,2026,0,200,Kurunegala,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-9,2026-02-21
Ranomoto CG125 Pattaya 2016,300000,Ranomoto,CG125,2016,28145,125,Gampaha,https://ikman.lk/en/ad/ranomoto-cg125-pattaya-2016-for-sale-gampaha,2026-02-21
Honda Dio 2015,445000,Honda,Dio,2015,85000,110,Ratnapura,https://ikman.lk/en/ad/honda-dio-2015-for-sale-ratnapura-301,2026-02-21
Bajaj Platina 100 Red 2010,208000,Bajaj,Platina 100,2010,75000,100,Matara,https://ikman.lk/en/ad/bajaj-platina-100-red-2010-for-sale-matara,2026-02-21
Honda CD 125 2026,835000,Honda,CD 125,2026,130,125,Anuradhapura,https://ikman.lk/en/ad/honda-cd-125-2026-for-sale-anuradhapura-1,2026-02-21
Bajaj Discover 100 2013,290000,Bajaj,Discover,2013,45000,100,Ratnapura,https://ikman.lk/en/ad/bajaj-discover-100-2013-for-sale-ratnapura,2026-02-21
Suzuki Gixxer 2019,550000,Suzuki,Gixxer,2019,55000,150,Colombo,https://ikman.lk/en/ad/suzuki-gixxer-2019-for-sale-colombo-254,2026-02-21
Honda Navi 2018,360000,Honda,Navi,2018,34000,110,Galle,https://ikman.lk/en/ad/honda-navi-2017-2018-for-sale-galle,2026-02-21
