title,price,make,model,yom,mileage,engine_cc,location
Bajaj CT100 ES 2025,184360,Bajaj,Ct100,2025,0,100,Colombo
Hero Hunk 160R 4V 2025,454950,Hero,Hunk 160R,2025,1,160,Colombo
TVS Ntorq 2026,55700,Tvs,Ntorq,2026,0,125,Colombo
TVS Ntorq 2018,580000,Tvs,Ntorq,2018,61000,125,Colombo
Yamaha Fazer 2019,725000,Yamaha,Fazer,2019,35000,150,Vavuniya
Bajaj Pulsar 150 2007,350000,Bajaj,Pulsar 150,2007,95000,150,Kandy
Bajaj Discover 2010,280000,Bajaj,Discover,2010,80000,150,Ratnapura
Honda Dio 2016,510000,Honda,Dio,2016,40000,110,Ratnapura
Bajaj Pulsar NS200 Brand new 2026,515000,Bajaj,Pulsar Ns200,2026,0,200,Kurunegala
Ranomoto CG125 Pattaya 2016,300000,Ranomoto,Cg125,2016,28145,125,Gampaha
Honda Dio 2015,445000,Honda,Dio,2015,85000,110,Ratnapura
Bajaj Platina 100 Red 2010,208000,Bajaj,Platina 100,2010,75000,100,Matara
Honda CD 125 2026,835000,Honda,Cd 125,2026,130,125,Anuradhapura
Bajaj Discover 100 2013,290000,Bajaj,Discover,2013,45000,100,Ratnapura
Suzuki Gixxer 2019,550000,Suzuki,Gixxer,2019,55000,150,Colombo
Honda Navi 2018,360000,Honda,Navi,2018,34000,110,Galle
Bajaj Pulsar 135 2011,260000,Bajaj,Pulsar 135,2011,80000,135,Ratnapura
Bajaj Discover 125 2015,293000,Bajaj,Discover 125,2015,37000,125,Kurunegala
Yamaha FZs V2 2017,830000,Yamaha,Fzs V2,2017,55000,150,Gampaha
Ranomoto Pattaya 2019,147000,Ranomoto,Pattaya,2019,21000,125,Ampara
Honda Shine SP 2016,400000,Honda,Shine Sp,2016,61316,125,Gampaha
Aprilia SR GT 200 motoGP 2025,2400000,Aprilia,Sr,2025,720,174,Kandy
Honda CD 90 1994,75000,Honda,Cd 90,1994,45000,50,Kalutara
Hero Hunk 2009,225000,Hero,Hunk,2009,55000,150,Gampaha
Bajaj Avenger Street 150 2018,550000,Bajaj,Avenger Street 150,2018,96000,150,Jaffna
Bajaj Platina 2009,200000,Bajaj,Platina,2009,90900,100,Kandy
Honda Dio 2016,430000,Honda,Dio,2016,45000,109,Puttalam
Suzuki GN 125 Brand New 2025,184000,Suzuki,Gn 125,2025,0,125,Kurunegala
TVS Ntorq 125 Brand New 2026,155900,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 Brand New 2026,99700,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Metro 2014,245000,Tvs,Metro,2014,90359,100,Colombo
Honda PCX 125 2021,1450000,Honda,Pcx 125,2021,16900,125,Kandy
Hero HF Dawn 2016,255000,Hero,Hf Dawn,2016,32500,100,Puttalam
Hero Pleasure 2012,249000,Hero,Pleasure,2012,45000,100,Puttalam
Bajaj CT100 2008,265000,Bajaj,Ct100,2008,43600,100,Puttalam
Yamaha Fzs V4 2025,1165000,Yamaha,Fzs V4,2025,2000,149,Anuradhapura
Yamaha MT 15 V2 2025,1400000,Yamaha,Mt 15,2025,8000,155,Badulla
Hero Splendor i smart 2017,300000,Hero,Splendor I Smart,2017,55688,110,Colombo
Ranomoto Pattaya 2019,147000,Ranomoto,Pattaya,2019,19000,125,Batticaloa
Honda CD 125 1980,320000,Honda,Cd 125,1980,300000,125,Trincomalee
Yamaha Ray ZR 2017,415000,Yamaha,Ray Zr,2017,38580,125,Vavuniya
Ranomoto Safari 4s 2004,135000,Ranomoto,Other Model,2004,11300,48,Polonnaruwa
Hero Pleasure 2011,230000,Hero,Pleasure,2011,55247,100,Hambantota
Bajaj Pulsar 135 2012,238000,Bajaj,Pulsar 135,2012,76833,135,Kalutara
Honda Dio BEG 2016,70000,Honda,Dio,2016,48000,110,Gampaha
Hero Glamour 125cc 2012,200000,Hero,Glamour,2012,100000,125,Kalutara
Aprilia SR 125 2019,315000,Aprilia,Sr 125,2019,38600,125,Colombo
Honda Dio Mat Colour 2012,315000,Honda,Dio,2012,42000,110,Colombo
Bajaj CT100 Brand New 2026,138000,Bajaj,Ct100,2026,0,100,Kegalle
Bajaj Pulsar NS200 2025,490110,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj CT100 Brand New Blue 2026,174000,Bajaj,Ct100,2026,0,100,Kurunegala
Yamaha FZ S 2014,585000,Yamaha,Fz S,2014,76000,150,Kandy
Honda PCX 125 2025,1675000,Honda,Pcx 125,2025,0,125,Gampaha
Bajaj Pulsar NS200 brand new 2026,303145,Bajaj,Pulsar Ns200,2026,0,200,Colombo
Honda CD80 2001,100000,Honda,Cd80,2001,20000,90,Hambantota
Honda CD 200 1981,950000,Honda,Cd 200,1981,30000,200,Nuwara Eliya
Bajaj Pulsar 150 2014,400000,Bajaj,Pulsar 150,2014,12345,150,Hambantota
TVS Apache 2017,175000,Tvs,Apache,2017,62000,1000,Batticaloa
Hero Hunk 160R 2025,850000,Hero,Hunk 160R,2025,12000,160,Puttalam
Yamaha Ray ZR 2017,450000,Yamaha,Ray Zr,2017,64700,130,Anuradhapura
Bajaj Pulsar 220F 2012,537000,Bajaj,Pulsar 220F,2012,65000,220,Anuradhapura
Bajaj Pulsar NS200 2019,920000,Bajaj,Pulsar Ns200,2019,40000,200,Ampara
Hero Dash 2017,300000,Hero,Dash,2017,43000,110,Gampaha
Bajaj Boxer 2001,60000,Bajaj,Boxer,2001,100000,100,Kurunegala
Bajaj CT100 2025,530000,Bajaj,Ct100,2025,6000,100,Galle
Bajaj Pulsar NS200 ES 2025,490110,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj Pulsar NS200 2015,595000,Bajaj,Pulsar Ns200,2015,35000,200,Kegalle
Bajaj Pulsar N160 Premium 2025,470110,Bajaj,Pulsar N160,2025,0,160,Colombo
Bajaj Pulsar NS200 2018,920000,Bajaj,Pulsar Ns200,2018,60000,200,Ampara
Yamaha Mate V50 1998,55000,Yamaha,Mate,1998,95000,50,Gampaha
Honda Dio 2018,565000,Honda,Dio,2018,52156,110,Kandy
Bajaj Pulsar NS200 Premium 2025,490110,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj Pulsar 220F 2011,420000,Bajaj,Pulsar 220F,2011,60000,220,Jaffna
TVS Wego 2012,355500,Tvs,Wego,2012,30000,110,Jaffna
TVS Ntorq 125 Brand New 2026,158500,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 2021,158500,Tvs,Ntorq 125,2021,0,125,Colombo
